#, movie, href, total gross, opening, opening daily avg, release date
"97", "United 93 (Universal)", "/statistics/movies/united-93-2006", "$31,483,230", "$11,477,071", "$3,825,690", "Apr 28, 2006"
"98", "Employee of the Month (Lionsgate)", "/statistics/movies/employee-of-the-month-2006", "$28,444,384", "$11,409,030", "$3,803,010", "Oct 06, 2006"
"99", "Garfield: A Tail of Two Kitties (Fox)", "/statistics/movies/garfield-a-tail-of-two-kitties-2006", "$28,426,062", "$7,288,883", "$2,429,628", "Jun 16, 2006"
"100", "The Ant Bully (Warner Bros.)", "/statistics/movies/the-ant-bully-2006", "$28,142,910", "$8,433,575", "$2,811,192", "Jul 28, 2006"
"101", "Crank (Lionsgate)", "/statistics/movies/crank-2006", "$27,838,503", "$10,456,704", "$3,485,568", "Sep 01, 2006"
"102", "Stick It (Disney)", "/statistics/movies/stick-it-2006", "$26,910,518", "$10,803,005", "$3,601,002", "Apr 28, 2006"
"103", "The Descent (Lionsgate)", "/statistics/movies/the-descent-2006", "$26,024,827", "$8,911,417", "$2,970,472", "Aug 04, 2006"
"104", "Thank You for Smoking (Fox Searchlight)", "/statistics/movies/thank-you-for-smoking-2006", "$24,793,000", "$262,270", "$87,423", "Mar 17, 2006"
"105", "Jet Li's Fearless (Rogue)", "/statistics/movies/jet-li-s-fearless-2006", "$24,633,701", "$10,590,244", "$3,530,081", "Sep 22, 2006"
"106", "Clerks II (MGM / Weinstein)", "/statistics/movies/clerks-ii-2006", "$24,148,108", "$10,061,585", "$3,353,862", "Jul 21, 2006"
"107", "An Inconvenient Truth (Paramount Classics)", "/statistics/movies/an-inconvenient-truth-2006", "$24,146,473", "$281,466", "$93,822", "May 24, 2006"
"108", "The Wicker Man (2006) (Warner Bros.)", "/statistics/movies/the-wicker-man-2006", "$23,649,168", "$9,610,635", "$3,203,545", "Sep 01, 2006"
"109", "The Covenant (Sony / Screen Gems)", "/statistics/movies/the-covenant-2006", "$23,380,042", "$8,852,161", "$2,950,720", "Sep 08, 2006"
"110", "Stay Alive (Disney)", "/statistics/movies/stay-alive-2006", "$23,086,257", "$10,726,597", "$3,575,532", "Mar 24, 2006"
"111", "The Black Dahlia (Universal)", "/statistics/movies/the-black-dahlia-2006", "$22,545,791", "$10,004,056", "$3,334,685", "Sep 15, 2006"
"112", "My Super Ex-Girlfriend (Fox)", "/statistics/movies/my-super-ex-girlfriend-2006", "$22,530,911", "$8,604,169", "$2,868,056", "Jul 21, 2006"
