#,movie,href,total gross,opening,opening daily avg,release date
"69","Diary of a Wimpy Kid: Dog Days (Fox)","/statistics/movies/diary-of-a-wimpy-kid-dog-days-2012","$49,008,662","$14,623,599","$4,874,533","Aug 03, 2012"
"70","Sinister (Lionsgate / Summit)","/statistics/movies/sinister-2012","$48,086,903","$18,007,634","$6,002,545","Oct 12, 2012"
"71","Beauty and the Beast 3D (Disney)","/statistics/movies/beauty-and-the-beast-2012-re-issue-1991","$47,617,067","$17,751,905","$5,917,302","Jan 13, 2012"
"72","Savages (Universal)","/statistics/movies/savages-2012","$47,323,100","$16,016,910","$5,338,970","Jul 06, 2012"
"73","The Best Exotic Marigold Hotel (Fox Searchlight)","/statistics/movies/the-best-exotic-marigold-hotel-2011","$46,385,113","$737,051","$245,684","May 04, 2012"
"74","Moonrise Kingdom (Focus)","/statistics/movies/moonrise-kingdom-2012","$45,512,466","$522,996","$174,332","May 25, 2012"
"75","Here Comes the Boom (Sony / Columbia)","/statistics/movies/here-comes-the-boom-2012","$45,290,318","$11,816,596","$3,938,865","Oct 12, 2012"
"76","Red Dawn (2012) (FilmDistrict)","/statistics/movies/red-dawn-2010-2010","$44,806,783","$14,276,668","$4,758,889","Nov 21, 2012"
"77","The Three Stooges (Fox)","/statistics/movies/untitled-three-stooges-project-1900","$44,338,224","$17,010,125","$5,670,042","Apr 13, 2012"
"78","Star Wars: Episode I - The Phantom Menace 3D (Fox)","/statistics/movies/star-wars-episode-i-the-phantom-menace-2012-re-issue-1999","$43,456,382","$22,469,932","$7,489,977","Feb 10, 2012"
"79","Resident Evil: Retribution (Sony / Screen Gems)","/statistics/movies/resident-evil-5-2012","$42,345,531","$21,052,227","$7,017,409","Sep 14, 2012"
"80","The Cabin in the Woods (Lionsgate)","/statistics/movies/the-cabin-in-the-woods-in-3d-2011","$42,073,277","$14,743,614","$4,914,538","Apr 13, 2012"
"81","What to Expect When You're Expecting (Lionsgate)","/statistics/movies/what-to-expect-when-youre-expecting-2012","$41,152,203","$10,547,068","$3,515,689","May 18, 2012"
"82","Finding Nemo 3D (Disney)","/statistics/movies/finding-nemo-2012-re-issue-2003","$41,128,283","$16,687,773","$5,562,591","Sep 14, 2012"
"83","End of Watch (Open Road)","/statistics/movies/end-of-watch-2012","$41,003,371","$13,152,683","$4,384,228","Sep 21, 2012"
"84","Rock of Ages (Warner Bros. / New Line)","/statistics/movies/rock-of-ages-2012","$38,518,613","$14,437,269","$4,812,423","Jun 15, 2012"
"85","Abraham Lincoln: Vampire Hunter (Fox)","/statistics/movies/abraham-lincoln-vampire-hunter-2012","$37,519,139","$16,306,974","$5,435,658","Jun 22, 2012"
"86","Lawless (Weinstein Company)","/statistics/movies/the-wettest-county-2012","$37,400,127","$10,001,982","$3,333,994","Aug 29, 2012"
"87","The Guilt Trip (Paramount)","/statistics/movies/my-mothers-curse-2012","$37,134,215","$5,290,629","$1,763,543","Dec 19, 2012"
"88","That's My Boy (Sony / Columbia)","/statistics/movies/i-hate-you-dad-2012","$36,931,089","$13,453,714","$4,484,571","Jun 15, 2012"
"89","Trouble with the Curve (Warner Bros.)","/statistics/movies/trouble-with-the-curve-2012","$35,763,137","$12,162,040","$4,054,013","Sep 21, 2012"
"90","Frankenweenie (Disney)","/statistics/movies/frankenweenie-2012","$35,291,068","$11,412,213","$3,804,071","Oct 05, 2012"
"91","Step Up Revolution (Lionsgate / Summit)","/statistics/movies/step-up-4-2012","$35,074,677","$11,731,708","$3,910,569","Jul 27, 2012"
"92","Tyler Perry's Good Deeds (Lionsgate)","/statistics/movies/tyler-perrys-good-deeds-2012","$35,025,791","$15,583,924","$5,194,641","Feb 24, 2012"
"93","The Watch (Fox)","/statistics/movies/neighborhood-watch-2012","$34,353,000","$12,750,297","$4,250,099","Jul 27, 2012"
"94","Monsters, Inc. 3D (Disney)","/statistics/movies/monsters-inc-2013-re-issue-2001","$34,043,006","$4,774,686","$1,591,562","Dec 19, 2012"
"95","2016: Obama's America (Rocky Mountain Pictures)","/statistics/movies/2016-obamas-america-the-movie-2012","$33,449,086","$31,610","$10,537","Jul 13, 2012"
"96","House at the End of the Street (Relativity Media)","/statistics/movies/house-at-the-end-of-the-street-2012","$31,611,916","$12,287,234","$4,095,745","Sep 21, 2012"
"97","The Pirates! Band of Misfits (Sony / Columbia)","/statistics/movies/pirates-2012","$31,051,126","$11,137,734","$3,712,578","Apr 27, 2012"
"98","Joyful Noise (Warner Bros.)","/statistics/movies/joyful-noise-2012","$30,932,113","$11,225,190","$3,741,730","Jan 13, 2012"
"99","Chimpanzee (Disneynature)","/statistics/movies/chimpanzee-2012","$28,972,764","$10,673,748","$3,557,916","Apr 20, 2012"
"100","The Five-Year Engagement (Universal)","/statistics/movies/the-five-year-engagement-2012","$28,700,285","$10,610,060","$3,536,687","Apr 27, 2012"
"101","Cloud Atlas (Warner Bros.)","/statistics/movies/cloud-atlas-2012","$27,108,272","$9,612,247","$3,204,082","Oct 26, 2012"
"102","One For the Money (Lionsgate)","/statistics/movies/one-for-the-money-2011","$26,414,527","$11,515,790","$3,838,597","Jan 27, 2012"
"103","Alex Cross (Lionsgate / Summit)","/statistics/movies/alex-cross-2012","$25,888,412","$11,396,768","$3,798,923","Oct 19, 2012"
"104","Katy Perry: Part of Me 3D (Paramount)","/statistics/movies/katy-perry-part-of-me-3d-2012","$25,326,071","$7,138,266","$2,379,422","Jul 05, 2012"
